"Program","Year","Geo.Level","State","County","Region","Crop","Measurement","Type","Value"
"CENSUS",2022,"COUNTY","ALABAMA","BLOUNT",NA,"STRAWBERRIES","OPERATIONS WITH AREA NON-BEARING",NA,1
"CENSUS",2022,"COUNTY","ALABAMA","CALHOUN",NA,"STRAWBERRIES","ACRES BEARING",NA,NA
"CENSUS",2022,"COUNTY","ALABAMA","CALHOUN",NA,"STRAWBERRIES","ACRES GROWN",NA,NA
"CENSUS",2022,"COUNTY","ALABAMA","CALHOUN",NA,"STRAWBERRIES","OPERATIONS WITH AREA BEARING",NA,2
"CENSUS",2022,"COUNTY","ALABAMA","CALHOUN",NA,"STRAWBERRIES","OPERATIONS WITH AREA GROWN",NA,2
"CENSUS",2022,"COUNTY","ALABAMA","CLEBURNE",NA,"STRAWBERRIES","ACRES BEARING",NA,NA
"CENSUS",2022,"COUNTY","ALABAMA","CLEBURNE",NA,"STRAWBERRIES","ACRES GROWN",NA,NA
"CENSUS",2022,"COUNTY","ALABAMA","CLEBURNE",NA,"STRAWBERRIES","OPERATIONS WITH AREA BEARING",NA,4
"CENSUS",2022,"COUNTY","ALABAMA","CLEBURNE",NA,"STRAWBERRIES","OPERATIONS WITH AREA GROWN",NA,4
"CENSUS",2022,"COUNTY","ALABAMA","CULLMAN",NA,"STRAWBERRIES","ACRES BEARING",NA,8
"CENSUS",2022,"COUNTY","ALABAMA","CULLMAN",NA,"STRAWBERRIES","ACRES GROWN",NA,9
"CENSUS",2022,"COUNTY","ALABAMA","CULLMAN",NA,"STRAWBERRIES","ACRES NON-BEARING",NA,1
"CENSUS",2022,"COUNTY","ALABAMA","CULLMAN",NA,"STRAWBERRIES","OPERATIONS WITH AREA BEARING",NA,10
"CENSUS",2022,"COUNTY","ALABAMA","CULLMAN",NA,"STRAWBERRIES","OPERATIONS WITH AREA GROWN",NA,11
"CENSUS",2022,"COUNTY","ALABAMA","CULLMAN",NA,"STRAWBERRIES","OPERATIONS WITH AREA NON-BEARING",NA,3
"CENSUS",2022,"COUNTY","ALABAMA","DE KALB",NA,"STRAWBERRIES","ACRES BEARING",NA,7
"CENSUS",2022,"COUNTY","ALABAMA","DE KALB",NA,"STRAWBERRIES","ACRES GROWN",NA,7
"CENSUS",2022,"COUNTY","ALABAMA","DE KALB",NA,"STRAWBERRIES","OPERATIONS WITH AREA BEARING",NA,6
"CENSUS",2022,"COUNTY","ALABAMA","DE KALB",NA,"STRAWBERRIES","OPERATIONS WITH AREA GROWN",NA,6
"CENSUS",2022,"COUNTY","ALABAMA","JACKSON",NA,"STRAWBERRIES","ACRES BEARING",NA,1
"CENSUS",2022,"COUNTY","ALABAMA","JACKSON",NA,"STRAWBERRIES","ACRES GROWN",NA,1
"CENSUS",2022,"COUNTY","ALABAMA","JACKSON",NA,"STRAWBERRIES","OPERATIONS WITH AREA BEARING",NA,4
"CENSUS",2022,"COUNTY","ALABAMA","JACKSON",NA,"STRAWBERRIES","OPERATIONS WITH AREA GROWN",NA,4
"CENSUS",2022,"COUNTY","ALABAMA","MARSHALL",NA,"STRAWBERRIES","ACRES BEARING",NA,NA
"CENSUS",2022,"COUNTY","ALABAMA","MARSHALL",NA,"STRAWBERRIES","ACRES GROWN",NA,NA
"CENSUS",2022,"COUNTY","ALABAMA","MARSHALL",NA,"STRAWBERRIES","OPERATIONS WITH AREA BEARING",NA,2
"CENSUS",2022,"COUNTY","ALABAMA","MARSHALL",NA,"STRAWBERRIES","OPERATIONS WITH AREA GROWN",NA,2
"CENSUS",2022,"COUNTY","ALABAMA","SAINT CLAIR",NA,"STRAWBERRIES","ACRES BEARING",NA,10
"CENSUS",2022,"COUNTY","ALABAMA","SAINT CLAIR",NA,"STRAWBERRIES","ACRES GROWN",NA,10
"CENSUS",2022,"COUNTY","ALABAMA","SAINT CLAIR",NA,"STRAWBERRIES","OPERATIONS WITH AREA BEARING",NA,8
"CENSUS",2022,"COUNTY","ALABAMA","SAINT CLAIR",NA,"STRAWBERRIES","OPERATIONS WITH AREA GROWN",NA,8
"CENSUS",2022,"COUNTY","ALABAMA","LAUDERDALE",NA,"STRAWBERRIES","ACRES BEARING",NA,NA
"CENSUS",2022,"COUNTY","ALABAMA","LAUDERDALE",NA,"STRAWBERRIES","ACRES GROWN",NA,NA
"CENSUS",2022,"COUNTY","ALABAMA","LAUDERDALE",NA,"STRAWBERRIES","OPERATIONS WITH AREA BEARING",NA,2
"CENSUS",2022,"COUNTY","ALABAMA","LAUDERDALE",NA,"STRAWBERRIES","OPERATIONS WITH AREA GROWN",NA,2
"CENSUS",2022,"COUNTY","ALABAMA","LIMESTONE",NA,"STRAWBERRIES","ACRES BEARING",NA,NA
"CENSUS",2022,"COUNTY","ALABAMA","LIMESTONE",NA,"STRAWBERRIES","ACRES GROWN",NA,NA
"CENSUS",2022,"COUNTY","ALABAMA","LIMESTONE",NA,"STRAWBERRIES","OPERATIONS WITH AREA BEARING",NA,1
"CENSUS",2022,"COUNTY","ALABAMA","LIMESTONE",NA,"STRAWBERRIES","OPERATIONS WITH AREA GROWN",NA,1
"CENSUS",2022,"COUNTY","ALABAMA","MADISON",NA,"STRAWBERRIES","ACRES GROWN",NA,NA
"CENSUS",2022,"COUNTY","ALABAMA","MADISON",NA,"STRAWBERRIES","ACRES NON-BEARING",NA,NA
"CENSUS",2022,"COUNTY","ALABAMA","MADISON",NA,"STRAWBERRIES","OPERATIONS WITH AREA GROWN",NA,2
"CENSUS",2022,"COUNTY","ALABAMA","MADISON",NA,"STRAWBERRIES","OPERATIONS WITH AREA NON-BEARING",NA,2
"CENSUS",2022,"COUNTY","ALABAMA","MARION",NA,"STRAWBERRIES","ACRES BEARING",NA,2
"CENSUS",2022,"COUNTY","ALABAMA","MARION",NA,"STRAWBERRIES","ACRES GROWN",NA,2
"CENSUS",2022,"COUNTY","ALABAMA","MARION",NA,"STRAWBERRIES","ACRES NON-BEARING",NA,NA
"CENSUS",2022,"COUNTY","ALABAMA","MARION",NA,"STRAWBERRIES","OPERATIONS WITH AREA BEARING",NA,3
"CENSUS",2022,"COUNTY","ALABAMA","MARION",NA,"STRAWBERRIES","OPERATIONS WITH AREA GROWN",NA,6
"CENSUS",2022,"COUNTY","ALABAMA","MARION",NA,"STRAWBERRIES","OPERATIONS WITH AREA NON-BEARING",NA,3
"CENSUS",2022,"COUNTY","ALABAMA","MORGAN",NA,"STRAWBERRIES","ACRES BEARING",NA,61
"CENSUS",2022,"COUNTY","ALABAMA","MORGAN",NA,"STRAWBERRIES","ACRES GROWN",NA,61
"CENSUS",2022,"COUNTY","ALABAMA","MORGAN",NA,"STRAWBERRIES","OPERATIONS WITH AREA BEARING",NA,13
"CENSUS",2022,"COUNTY","ALABAMA","MORGAN",NA,"STRAWBERRIES","OPERATIONS WITH AREA GROWN",NA,13
"CENSUS",2022,"COUNTY","ALABAMA","BIBB",NA,"STRAWBERRIES","ACRES GROWN",NA,NA
"CENSUS",2022,"COUNTY","ALABAMA","BIBB",NA,"STRAWBERRIES","ACRES NON-BEARING",NA,NA
"CENSUS",2022,"COUNTY","ALABAMA","BIBB",NA,"STRAWBERRIES","OPERATIONS WITH AREA GROWN",NA,1
"CENSUS",2022,"COUNTY","ALABAMA","BIBB",NA,"STRAWBERRIES","OPERATIONS WITH AREA NON-BEARING",NA,1
"CENSUS",2022,"COUNTY","ALABAMA","CHILTON",NA,"STRAWBERRIES","ACRES BEARING",NA,NA
"CENSUS",2022,"COUNTY","ALABAMA","CHILTON",NA,"STRAWBERRIES","ACRES GROWN",NA,16
"CENSUS",2022,"COUNTY","ALABAMA","CHILTON",NA,"STRAWBERRIES","ACRES NON-BEARING",NA,NA
"CENSUS",2022,"COUNTY","ALABAMA","CHILTON",NA,"STRAWBERRIES","OPERATIONS WITH AREA BEARING",NA,4
"CENSUS",2022,"COUNTY","ALABAMA","CHILTON",NA,"STRAWBERRIES","OPERATIONS WITH AREA GROWN",NA,4
"CENSUS",2022,"COUNTY","ALABAMA","CHILTON",NA,"STRAWBERRIES","OPERATIONS WITH AREA NON-BEARING",NA,2
"CENSUS",2022,"COUNTY","ALABAMA","CLAY",NA,"STRAWBERRIES","ACRES BEARING",NA,8
"CENSUS",2022,"COUNTY","ALABAMA","CLAY",NA,"STRAWBERRIES","ACRES GROWN",NA,8
"CENSUS",2022,"COUNTY","ALABAMA","CLAY",NA,"STRAWBERRIES","OPERATIONS WITH AREA BEARING",NA,8
"CENSUS",2022,"COUNTY","ALABAMA","CLAY",NA,"STRAWBERRIES","OPERATIONS WITH AREA GROWN",NA,8
"CENSUS",2022,"COUNTY","ALABAMA","JEFFERSON",NA,"STRAWBERRIES","ACRES BEARING",NA,8
"CENSUS",2022,"COUNTY","ALABAMA","JEFFERSON",NA,"STRAWBERRIES","ACRES GROWN",NA,8
"CENSUS",2022,"COUNTY","ALABAMA","JEFFERSON",NA,"STRAWBERRIES","OPERATIONS WITH AREA BEARING",NA,5
"CENSUS",2022,"COUNTY","ALABAMA","JEFFERSON",NA,"STRAWBERRIES","OPERATIONS WITH AREA GROWN",NA,5
"CENSUS",2022,"COUNTY","ALABAMA","RANDOLPH",NA,"STRAWBERRIES","ACRES BEARING",NA,NA
"CENSUS",2022,"COUNTY","ALABAMA","RANDOLPH",NA,"STRAWBERRIES","ACRES GROWN",NA,NA
"CENSUS",2022,"COUNTY","ALABAMA","RANDOLPH",NA,"STRAWBERRIES","OPERATIONS WITH AREA BEARING",NA,4
"CENSUS",2022,"COUNTY","ALABAMA","RANDOLPH",NA,"STRAWBERRIES","OPERATIONS WITH AREA GROWN",NA,4
"CENSUS",2022,"COUNTY","ALABAMA","SHELBY",NA,"STRAWBERRIES","ACRES BEARING",NA,NA
"CENSUS",2022,"COUNTY","ALABAMA","SHELBY",NA,"STRAWBERRIES","ACRES GROWN",NA,3
"CENSUS",2022,"COUNTY","ALABAMA","SHELBY",NA,"STRAWBERRIES","ACRES NON-BEARING",NA,NA
"CENSUS",2022,"COUNTY","ALABAMA","SHELBY",NA,"STRAWBERRIES","OPERATIONS WITH AREA BEARING",NA,3
"CENSUS",2022,"COUNTY","ALABAMA","SHELBY",NA,"STRAWBERRIES","OPERATIONS WITH AREA GROWN",NA,3
"CENSUS",2022,"COUNTY","ALABAMA","SHELBY",NA,"STRAWBERRIES","OPERATIONS WITH AREA NON-BEARING",NA,1
"CENSUS",2022,"COUNTY","ALABAMA","TALLADEGA",NA,"STRAWBERRIES","ACRES BEARING",NA,NA
"CENSUS",2022,"COUNTY","ALABAMA","TALLADEGA",NA,"STRAWBERRIES","ACRES GROWN",NA,NA
"CENSUS",2022,"COUNTY","ALABAMA","TALLADEGA",NA,"STRAWBERRIES","OPERATIONS WITH AREA BEARING",NA,1
"CENSUS",2022,"COUNTY","ALABAMA","TALLADEGA",NA,"STRAWBERRIES","OPERATIONS WITH AREA GROWN",NA,1
"CENSUS",2022,"COUNTY","ALABAMA","TUSCALOOSA",NA,"STRAWBERRIES","ACRES BEARING",NA,NA
"CENSUS",2022,"COUNTY","ALABAMA","TUSCALOOSA",NA,"STRAWBERRIES","ACRES GROWN",NA,NA
"CENSUS",2022,"COUNTY","ALABAMA","TUSCALOOSA",NA,"STRAWBERRIES","OPERATIONS WITH AREA BEARING",NA,2
"CENSUS",2022,"COUNTY","ALABAMA","TUSCALOOSA",NA,"STRAWBERRIES","OPERATIONS WITH AREA GROWN",NA,2
"CENSUS",2022,"COUNTY","ALABAMA","WALKER",NA,"STRAWBERRIES","ACRES BEARING",NA,NA
"CENSUS",2022,"COUNTY","ALABAMA","WALKER",NA,"STRAWBERRIES","ACRES GROWN",NA,NA
"CENSUS",2022,"COUNTY","ALABAMA","WALKER",NA,"STRAWBERRIES","OPERATIONS WITH AREA BEARING",NA,1
"CENSUS",2022,"COUNTY","ALABAMA","WALKER",NA,"STRAWBERRIES","OPERATIONS WITH AREA GROWN",NA,1
"CENSUS",2022,"COUNTY","ALABAMA","COVINGTON",NA,"STRAWBERRIES","ACRES BEARING",NA,NA
"CENSUS",2022,"COUNTY","ALABAMA","COVINGTON",NA,"STRAWBERRIES","ACRES GROWN",NA,NA
"CENSUS",2022,"COUNTY","ALABAMA","COVINGTON",NA,"STRAWBERRIES","OPERATIONS WITH AREA BEARING",NA,1
"CENSUS",2022,"COUNTY","ALABAMA","COVINGTON",NA,"STRAWBERRIES","OPERATIONS WITH AREA GROWN",NA,1
"CENSUS",2022,"COUNTY","ALABAMA","GENEVA",NA,"STRAWBERRIES","ACRES BEARING",NA,NA
"CENSUS",2022,"COUNTY","ALABAMA","GENEVA",NA,"STRAWBERRIES","ACRES GROWN",NA,NA
"CENSUS",2022,"COUNTY","ALABAMA","GENEVA",NA,"STRAWBERRIES","OPERATIONS WITH AREA BEARING",NA,1
"CENSUS",2022,"COUNTY","ALABAMA","GENEVA",NA,"STRAWBERRIES","OPERATIONS WITH AREA GROWN",NA,1
"CENSUS",2022,"COUNTY","ALABAMA","HOUSTON",NA,"STRAWBERRIES","ACRES BEARING",NA,1
"CENSUS",2022,"COUNTY","ALABAMA","HOUSTON",NA,"STRAWBERRIES","ACRES GROWN",NA,1
"CENSUS",2022,"COUNTY","ALABAMA","HOUSTON",NA,"STRAWBERRIES","OPERATIONS WITH AREA BEARING",NA,4
"CENSUS",2022,"COUNTY","ALABAMA","HOUSTON",NA,"STRAWBERRIES","OPERATIONS WITH AREA GROWN",NA,4
"CENSUS",2022,"COUNTY","ALABAMA","RUSSELL",NA,"STRAWBERRIES","ACRES BEARING",NA,NA
"CENSUS",2022,"COUNTY","ALABAMA","RUSSELL",NA,"STRAWBERRIES","ACRES GROWN",NA,NA
"CENSUS",2022,"COUNTY","ALABAMA","RUSSELL",NA,"STRAWBERRIES","OPERATIONS WITH AREA BEARING",NA,1
"CENSUS",2022,"COUNTY","ALABAMA","RUSSELL",NA,"STRAWBERRIES","OPERATIONS WITH AREA GROWN",NA,1
"CENSUS",2022,"COUNTY","ALASKA","KENAI PENINSULA",NA,"STRAWBERRIES","ACRES BEARING",NA,NA
"CENSUS",2022,"COUNTY","ALASKA","KENAI PENINSULA",NA,"STRAWBERRIES","ACRES GROWN",NA,4
"CENSUS",2022,"COUNTY","ALASKA","KENAI PENINSULA",NA,"STRAWBERRIES","ACRES NON-BEARING",NA,NA
"CENSUS",2022,"COUNTY","ALASKA","KENAI PENINSULA",NA,"STRAWBERRIES","OPERATIONS WITH AREA BEARING",NA,21
"CENSUS",2022,"COUNTY","ALASKA","KENAI PENINSULA",NA,"STRAWBERRIES","OPERATIONS WITH AREA GROWN",NA,24
"CENSUS",2022,"COUNTY","ALASKA","KENAI PENINSULA",NA,"STRAWBERRIES","OPERATIONS WITH AREA NON-BEARING",NA,6
"CENSUS",2022,"COUNTY","ALASKA","ANCHORAGE",NA,"STRAWBERRIES","ACRES BEARING",NA,NA
"CENSUS",2022,"COUNTY","ALASKA","ANCHORAGE",NA,"STRAWBERRIES","ACRES GROWN",NA,NA
"CENSUS",2022,"COUNTY","ALASKA","ANCHORAGE",NA,"STRAWBERRIES","ACRES NON-BEARING",NA,NA
"CENSUS",2022,"COUNTY","ALASKA","ANCHORAGE",NA,"STRAWBERRIES","OPERATIONS WITH AREA BEARING",NA,11
"CENSUS",2022,"COUNTY","ALASKA","ANCHORAGE",NA,"STRAWBERRIES","OPERATIONS WITH AREA GROWN",NA,12
"CENSUS",2022,"COUNTY","ALASKA","ANCHORAGE",NA,"STRAWBERRIES","OPERATIONS WITH AREA NON-BEARING",NA,1
"CENSUS",2022,"COUNTY","ALASKA","JUNEAU",NA,"STRAWBERRIES","ACRES BEARING",NA,NA
"CENSUS",2022,"COUNTY","ALASKA","JUNEAU",NA,"STRAWBERRIES","ACRES GROWN",NA,NA
"CENSUS",2022,"COUNTY","ALASKA","JUNEAU",NA,"STRAWBERRIES","OPERATIONS WITH AREA BEARING",NA,3
"CENSUS",2022,"COUNTY","ALASKA","JUNEAU",NA,"STRAWBERRIES","OPERATIONS WITH AREA GROWN",NA,3
"CENSUS",2022,"COUNTY","ALASKA","ALEUTIAN ISLANDS",NA,"STRAWBERRIES","ACRES BEARING",NA,NA
"CENSUS",2022,"COUNTY","ALASKA","ALEUTIAN ISLANDS",NA,"STRAWBERRIES","ACRES GROWN",NA,NA
"CENSUS",2022,"COUNTY","ALASKA","ALEUTIAN ISLANDS",NA,"STRAWBERRIES","OPERATIONS WITH AREA BEARING",NA,2
"CENSUS",2022,"COUNTY","ALASKA","ALEUTIAN ISLANDS",NA,"STRAWBERRIES","OPERATIONS WITH AREA GROWN",NA,2
"CENSUS",2022,"COUNTY","ALASKA","FAIRBANKS NORTH STAR",NA,"STRAWBERRIES","ACRES BEARING",NA,NA
"CENSUS",2022,"COUNTY","ALASKA","FAIRBANKS NORTH STAR",NA,"STRAWBERRIES","ACRES GROWN",NA,7
"CENSUS",2022,"COUNTY","ALASKA","FAIRBANKS NORTH STAR",NA,"STRAWBERRIES","ACRES NON-BEARING",NA,NA
"CENSUS",2022,"COUNTY","ALASKA","FAIRBANKS NORTH STAR",NA,"STRAWBERRIES","OPERATIONS WITH AREA BEARING",NA,8
"CENSUS",2022,"COUNTY","ALASKA","FAIRBANKS NORTH STAR",NA,"STRAWBERRIES","OPERATIONS WITH AREA GROWN",NA,9
"CENSUS",2022,"COUNTY","ALASKA","FAIRBANKS NORTH STAR",NA,"STRAWBERRIES","OPERATIONS WITH AREA NON-BEARING",NA,1
"CENSUS",2022,"COUNTY","ARIZONA","MOHAVE",NA,"STRAWBERRIES","ACRES BEARING",NA,NA
"CENSUS",2022,"COUNTY","ARIZONA","MOHAVE",NA,"STRAWBERRIES","ACRES GROWN",NA,NA
"CENSUS",2022,"COUNTY","ARIZONA","MOHAVE",NA,"STRAWBERRIES","OPERATIONS WITH AREA BEARING",NA,3
"CENSUS",2022,"COUNTY","ARIZONA","MOHAVE",NA,"STRAWBERRIES","OPERATIONS WITH AREA GROWN",NA,3
"CENSUS",2022,"COUNTY","ARIZONA","NAVAJO",NA,"STRAWBERRIES","ACRES BEARING",NA,1
"CENSUS",2022,"COUNTY","ARIZONA","NAVAJO",NA,"STRAWBERRIES","ACRES GROWN",NA,2
"CENSUS",2022,"COUNTY","ARIZONA","NAVAJO",NA,"STRAWBERRIES","ACRES NON-BEARING",NA,NA
"CENSUS",2022,"COUNTY","ARIZONA","NAVAJO",NA,"STRAWBERRIES","OPERATIONS WITH AREA BEARING",NA,7
"CENSUS",2022,"COUNTY","ARIZONA","NAVAJO",NA,"STRAWBERRIES","OPERATIONS WITH AREA GROWN",NA,10
"CENSUS",2022,"COUNTY","ARIZONA","NAVAJO",NA,"STRAWBERRIES","OPERATIONS WITH AREA NON-BEARING",NA,3
"CENSUS",2022,"COUNTY","ARIZONA","YAVAPAI",NA,"STRAWBERRIES","ACRES BEARING",NA,NA
"CENSUS",2022,"COUNTY","ARIZONA","YAVAPAI",NA,"STRAWBERRIES","ACRES GROWN",NA,NA
"CENSUS",2022,"COUNTY","ARIZONA","YAVAPAI",NA,"STRAWBERRIES","ACRES NON-BEARING",NA,NA
"CENSUS",2022,"COUNTY","ARIZONA","YAVAPAI",NA,"STRAWBERRIES","OPERATIONS WITH AREA BEARING",NA,1
"CENSUS",2022,"COUNTY","ARIZONA","YAVAPAI",NA,"STRAWBERRIES","OPERATIONS WITH AREA GROWN",NA,4
"CENSUS",2022,"COUNTY","ARIZONA","YAVAPAI",NA,"STRAWBERRIES","OPERATIONS WITH AREA NON-BEARING",NA,3
"CENSUS",2022,"COUNTY","ARIZONA","COCHISE",NA,"STRAWBERRIES","ACRES BEARING",NA,NA
"CENSUS",2022,"COUNTY","ARIZONA","COCHISE",NA,"STRAWBERRIES","ACRES GROWN",NA,NA
"CENSUS",2022,"COUNTY","ARIZONA","COCHISE",NA,"STRAWBERRIES","ACRES NON-BEARING",NA,NA
"CENSUS",2022,"COUNTY","ARIZONA","COCHISE",NA,"STRAWBERRIES","OPERATIONS WITH AREA BEARING",NA,1
"CENSUS",2022,"COUNTY","ARIZONA","COCHISE",NA,"STRAWBERRIES","OPERATIONS WITH AREA GROWN",NA,1
"CENSUS",2022,"COUNTY","ARIZONA","COCHISE",NA,"STRAWBERRIES","OPERATIONS WITH AREA NON-BEARING",NA,1
"CENSUS",2022,"COUNTY","ARIZONA","MARICOPA",NA,"STRAWBERRIES","ACRES BEARING",NA,1
"CENSUS",2022,"COUNTY","ARIZONA","MARICOPA",NA,"STRAWBERRIES","ACRES GROWN",NA,NA
"CENSUS",2022,"COUNTY","ARIZONA","MARICOPA",NA,"STRAWBERRIES","ACRES NON-BEARING",NA,NA
"CENSUS",2022,"COUNTY","ARIZONA","MARICOPA",NA,"STRAWBERRIES","OPERATIONS WITH AREA BEARING",NA,3
"CENSUS",2022,"COUNTY","ARIZONA","MARICOPA",NA,"STRAWBERRIES","OPERATIONS WITH AREA GROWN",NA,5
"CENSUS",2022,"COUNTY","ARIZONA","MARICOPA",NA,"STRAWBERRIES","OPERATIONS WITH AREA NON-BEARING",NA,2
"CENSUS",2022,"COUNTY","ARIZONA","SANTA CRUZ",NA,"STRAWBERRIES","ACRES BEARING",NA,NA
"CENSUS",2022,"COUNTY","ARIZONA","SANTA CRUZ",NA,"STRAWBERRIES","ACRES GROWN",NA,NA
"CENSUS",2022,"COUNTY","ARIZONA","SANTA CRUZ",NA,"STRAWBERRIES","OPERATIONS WITH AREA BEARING",NA,1
"CENSUS",2022,"COUNTY","ARIZONA","SANTA CRUZ",NA,"STRAWBERRIES","OPERATIONS WITH AREA GROWN",NA,1
"CENSUS",2022,"COUNTY","ARKANSAS","FAULKNER",NA,"STRAWBERRIES","ACRES BEARING",NA,NA
"CENSUS",2022,"COUNTY","ARKANSAS","FAULKNER",NA,"STRAWBERRIES","ACRES GROWN",NA,NA
"CENSUS",2022,"COUNTY","ARKANSAS","FAULKNER",NA,"STRAWBERRIES","ACRES NON-BEARING",NA,NA
"CENSUS",2022,"COUNTY","ARKANSAS","FAULKNER",NA,"STRAWBERRIES","OPERATIONS WITH AREA BEARING",NA,1
"CENSUS",2022,"COUNTY","ARKANSAS","FAULKNER",NA,"STRAWBERRIES","OPERATIONS WITH AREA GROWN",NA,4
"CENSUS",2022,"COUNTY","ARKANSAS","FAULKNER",NA,"STRAWBERRIES","OPERATIONS WITH AREA NON-BEARING",NA,3
"CENSUS",2022,"COUNTY","ARKANSAS","PULASKI",NA,"STRAWBERRIES","ACRES BEARING",NA,NA
"CENSUS",2022,"COUNTY","ARKANSAS","PULASKI",NA,"STRAWBERRIES","ACRES GROWN",NA,NA
"CENSUS",2022,"COUNTY","ARKANSAS","PULASKI",NA,"STRAWBERRIES","ACRES NON-BEARING",NA,NA
"CENSUS",2022,"COUNTY","ARKANSAS","PULASKI",NA,"STRAWBERRIES","OPERATIONS WITH AREA BEARING",NA,4
"CENSUS",2022,"COUNTY","ARKANSAS","PULASKI",NA,"STRAWBERRIES","OPERATIONS WITH AREA GROWN",NA,4
"CENSUS",2022,"COUNTY","ARKANSAS","PULASKI",NA,"STRAWBERRIES","OPERATIONS WITH AREA NON-BEARING",NA,1
"CENSUS",2022,"COUNTY","ARKANSAS","SALINE",NA,"STRAWBERRIES","ACRES BEARING",NA,NA
"CENSUS",2022,"COUNTY","ARKANSAS","SALINE",NA,"STRAWBERRIES","ACRES GROWN",NA,NA
"CENSUS",2022,"COUNTY","ARKANSAS","SALINE",NA,"STRAWBERRIES","ACRES NON-BEARING",NA,NA
"CENSUS",2022,"COUNTY","ARKANSAS","SALINE",NA,"STRAWBERRIES","OPERATIONS WITH AREA BEARING",NA,3
"CENSUS",2022,"COUNTY","ARKANSAS","SALINE",NA,"STRAWBERRIES","OPERATIONS WITH AREA GROWN",NA,3
"CENSUS",2022,"COUNTY","ARKANSAS","SALINE",NA,"STRAWBERRIES","OPERATIONS WITH AREA NON-BEARING",NA,1
"CENSUS",2022,"COUNTY","ARKANSAS","LONOKE",NA,"STRAWBERRIES","ACRES BEARING",NA,12
"CENSUS",2022,"COUNTY","ARKANSAS","LONOKE",NA,"STRAWBERRIES","ACRES GROWN",NA,12
"CENSUS",2022,"COUNTY","ARKANSAS","LONOKE",NA,"STRAWBERRIES","OPERATIONS WITH AREA BEARING",NA,7
