Year,Geo Level,State,State ANSI,Fruit,Category,Item,Metric,Value,CV (%)
2021,STATE,MAINE,23,STRAWBERRIES,ORGANIC - OPERATIONS WITH AREA HARVESTED,NA,NA,16,38.4
2021,STATE,MAINE,23,STRAWBERRIES,ORGANIC - OPERATIONS WITH SALES,NA,NA,16,38.4
2021,STATE,MAINE,23,STRAWBERRIES,ORGANIC - PRODUCTION,MEASURED IN CWT,NA,504,(H)
2021,STATE,MAINE,23,STRAWBERRIES,ORGANIC - SALES,MEASURED IN $,NA,NA,(H)
2021,STATE,MAINE,23,STRAWBERRIES,ORGANIC - SALES,MEASURED IN CWT,NA,504,(H)
2021,STATE,MAINE,23,STRAWBERRIES,ORGANIC,FRESH MARKET - OPERATIONS WITH SALES,NA,16,38.4
2021,STATE,MAINE,23,STRAWBERRIES,ORGANIC,FRESH MARKET - SALES,MEASURED IN $,NA,(H)
2021,STATE,MAINE,23,STRAWBERRIES,ORGANIC,FRESH MARKET - SALES,MEASURED IN CWT,504,(H)
2021,STATE,MARYLAND,24,STRAWBERRIES,ORGANIC - ACRES HARVESTED,NA,NA,3,31.6
2021,STATE,MARYLAND,24,STRAWBERRIES,ORGANIC - OPERATIONS WITH AREA HARVESTED,NA,NA,17,31.1
2021,STATE,MARYLAND,24,STRAWBERRIES,ORGANIC - OPERATIONS WITH SALES,NA,NA,17,31.1
2021,STATE,MARYLAND,24,STRAWBERRIES,ORGANIC - PRODUCTION,MEASURED IN CWT,NA,127,35.4
2021,STATE,MARYLAND,24,STRAWBERRIES,ORGANIC - SALES,MEASURED IN $,NA,NA,42.8
2021,STATE,MARYLAND,24,STRAWBERRIES,ORGANIC - SALES,MEASURED IN CWT,NA,127,35.4
2021,STATE,MARYLAND,24,STRAWBERRIES,ORGANIC,FRESH MARKET - OPERATIONS WITH SALES,NA,17,31.1
2021,STATE,MARYLAND,24,STRAWBERRIES,ORGANIC,FRESH MARKET - SALES,MEASURED IN $,NA,(D)
2021,STATE,MARYLAND,24,STRAWBERRIES,ORGANIC,FRESH MARKET - SALES,MEASURED IN CWT,NA,(D)
2021,STATE,MARYLAND,24,STRAWBERRIES,ORGANIC,PROCESSING - OPERATIONS WITH SALES,NA,2,(H)
2021,STATE,MARYLAND,24,STRAWBERRIES,ORGANIC,PROCESSING - SALES,MEASURED IN $,NA,(D)
2021,STATE,MARYLAND,24,STRAWBERRIES,ORGANIC,PROCESSING - SALES,MEASURED IN CWT,NA,(D)
2021,STATE,MASSACHUSETTS,25,STRAWBERRIES,ORGANIC - ACRES HARVESTED,NA,NA,9,89.6
2021,STATE,MASSACHUSETTS,25,STRAWBERRIES,ORGANIC - OPERATIONS WITH AREA HARVESTED,NA,NA,12,79.2
2021,STATE,MASSACHUSETTS,25,STRAWBERRIES,ORGANIC - OPERATIONS WITH SALES,NA,NA,12,79.2
2021,STATE,MASSACHUSETTS,25,STRAWBERRIES,ORGANIC - PRODUCTION,MEASURED IN CWT,NA,251,76.5
2021,STATE,MASSACHUSETTS,25,STRAWBERRIES,ORGANIC - SALES,MEASURED IN $,NA,NA,80.1
2021,STATE,MASSACHUSETTS,25,STRAWBERRIES,ORGANIC - SALES,MEASURED IN CWT,NA,251,76.5
2021,STATE,MASSACHUSETTS,25,STRAWBERRIES,ORGANIC,FRESH MARKET - OPERATIONS WITH SALES,NA,12,79.2
2021,STATE,MASSACHUSETTS,25,STRAWBERRIES,ORGANIC,FRESH MARKET - SALES,MEASURED IN $,NA,80.1
2021,STATE,MASSACHUSETTS,25,STRAWBERRIES,ORGANIC,FRESH MARKET - SALES,MEASURED IN CWT,251,76.5
2021,STATE,MICHIGAN,26,STRAWBERRIES,ORGANIC - ACRES HARVESTED,NA,NA,15,47.2
2021,STATE,MICHIGAN,26,STRAWBERRIES,ORGANIC - OPERATIONS WITH AREA HARVESTED,NA,NA,26,32.5
2021,STATE,MICHIGAN,26,STRAWBERRIES,ORGANIC - OPERATIONS WITH SALES,NA,NA,26,32.5
2021,STATE,MICHIGAN,26,STRAWBERRIES,ORGANIC - PRODUCTION,MEASURED IN CWT,NA,564,43.9
2021,STATE,MICHIGAN,26,STRAWBERRIES,ORGANIC - SALES,MEASURED IN $,NA,NA,44.1
2021,STATE,MICHIGAN,26,STRAWBERRIES,ORGANIC - SALES,MEASURED IN CWT,NA,564,43.9
2021,STATE,MICHIGAN,26,STRAWBERRIES,ORGANIC,FRESH MARKET - OPERATIONS WITH SALES,NA,26,32.5
2021,STATE,MICHIGAN,26,STRAWBERRIES,ORGANIC,FRESH MARKET - SALES,MEASURED IN $,NA,44.1
2021,STATE,MICHIGAN,26,STRAWBERRIES,ORGANIC,FRESH MARKET - SALES,MEASURED IN CWT,564,43.9
2021,STATE,MINNESOTA,27,STRAWBERRIES,ORGANIC - ACRES HARVESTED,NA,NA,19,45.8
2021,STATE,MINNESOTA,27,STRAWBERRIES,ORGANIC - OPERATIONS WITH AREA HARVESTED,NA,NA,21,39.5
2021,STATE,MINNESOTA,27,STRAWBERRIES,ORGANIC - OPERATIONS WITH SALES,NA,NA,21,39.5
2021,STATE,MINNESOTA,27,STRAWBERRIES,ORGANIC - PRODUCTION,MEASURED IN CWT,NA,749,54.0
2021,STATE,MINNESOTA,27,STRAWBERRIES,ORGANIC - SALES,MEASURED IN $,NA,NA,62.4
2021,STATE,MINNESOTA,27,STRAWBERRIES,ORGANIC - SALES,MEASURED IN CWT,NA,749,54.0
2021,STATE,MINNESOTA,27,STRAWBERRIES,ORGANIC,FRESH MARKET - OPERATIONS WITH SALES,NA,18,43.6
2021,STATE,MINNESOTA,27,STRAWBERRIES,ORGANIC,FRESH MARKET - SALES,MEASURED IN $,NA,(D)
2021,STATE,MINNESOTA,27,STRAWBERRIES,ORGANIC,FRESH MARKET - SALES,MEASURED IN CWT,659,62.9
2021,STATE,MINNESOTA,27,STRAWBERRIES,ORGANIC,PROCESSING - OPERATIONS WITH SALES,NA,3,95.4
2021,STATE,MINNESOTA,27,STRAWBERRIES,ORGANIC,PROCESSING - SALES,MEASURED IN $,NA,(D)
2021,STATE,MINNESOTA,27,STRAWBERRIES,ORGANIC,PROCESSING - SALES,MEASURED IN CWT,90,95.4
2021,STATE,MONTANA,30,STRAWBERRIES,ORGANIC - ACRES HARVESTED,NA,NA,5,71.5
2021,STATE,MONTANA,30,STRAWBERRIES,ORGANIC - OPERATIONS WITH AREA HARVESTED,NA,NA,11,43.6
2021,STATE,MONTANA,30,STRAWBERRIES,ORGANIC - OPERATIONS WITH SALES,NA,NA,11,43.6
2021,STATE,MONTANA,30,STRAWBERRIES,ORGANIC - PRODUCTION,MEASURED IN CWT,NA,96,73.5
2021,STATE,MONTANA,30,STRAWBERRIES,ORGANIC - SALES,MEASURED IN $,NA,NA,74.8
2021,STATE,MONTANA,30,STRAWBERRIES,ORGANIC - SALES,MEASURED IN CWT,NA,96,73.5
2021,STATE,MONTANA,30,STRAWBERRIES,ORGANIC,FRESH MARKET - OPERATIONS WITH SALES,NA,11,43.6
2021,STATE,MONTANA,30,STRAWBERRIES,ORGANIC,FRESH MARKET - SALES,MEASURED IN $,NA,74.8
2021,STATE,MONTANA,30,STRAWBERRIES,ORGANIC,FRESH MARKET - SALES,MEASURED IN CWT,96,73.5
2021,STATE,NEBRASKA,31,STRAWBERRIES,ORGANIC - ACRES HARVESTED,NA,NA,NA,(D)
2021,STATE,NEBRASKA,31,STRAWBERRIES,ORGANIC - OPERATIONS WITH AREA HARVESTED,NA,NA,1,(H)
2021,STATE,NEBRASKA,31,STRAWBERRIES,ORGANIC - OPERATIONS WITH SALES,NA,NA,1,(H)
2021,STATE,NEBRASKA,31,STRAWBERRIES,ORGANIC - PRODUCTION,MEASURED IN CWT,NA,NA,(D)
2021,STATE,NEBRASKA,31,STRAWBERRIES,ORGANIC - SALES,MEASURED IN $,NA,NA,(D)
2021,STATE,NEBRASKA,31,STRAWBERRIES,ORGANIC - SALES,MEASURED IN CWT,NA,NA,(D)
2021,STATE,NEBRASKA,31,STRAWBERRIES,ORGANIC,FRESH MARKET - OPERATIONS WITH SALES,NA,1,(H)
2021,STATE,NEBRASKA,31,STRAWBERRIES,ORGANIC,FRESH MARKET - SALES,MEASURED IN $,NA,(D)
2021,STATE,NEBRASKA,31,STRAWBERRIES,ORGANIC,FRESH MARKET - SALES,MEASURED IN CWT,NA,(D)
2021,STATE,NEW HAMPSHIRE,33,STRAWBERRIES,ORGANIC - ACRES HARVESTED,NA,NA,6,(H)
2021,STATE,NEW HAMPSHIRE,33,STRAWBERRIES,ORGANIC - OPERATIONS WITH AREA HARVESTED,NA,NA,9,58.7
2021,STATE,NEW HAMPSHIRE,33,STRAWBERRIES,ORGANIC - OPERATIONS WITH SALES,NA,NA,9,58.7
2021,STATE,NEW HAMPSHIRE,33,STRAWBERRIES,ORGANIC - PRODUCTION,MEASURED IN CWT,NA,132,(H)
2021,STATE,NEW HAMPSHIRE,33,STRAWBERRIES,ORGANIC - SALES,MEASURED IN $,NA,NA,(H)
2021,STATE,NEW HAMPSHIRE,33,STRAWBERRIES,ORGANIC - SALES,MEASURED IN CWT,NA,132,(H)
2021,STATE,NEW HAMPSHIRE,33,STRAWBERRIES,ORGANIC,FRESH MARKET - OPERATIONS WITH SALES,NA,9,58.7
2021,STATE,NEW HAMPSHIRE,33,STRAWBERRIES,ORGANIC,FRESH MARKET - SALES,MEASURED IN $,NA,(H)
2021,STATE,NEW HAMPSHIRE,33,STRAWBERRIES,ORGANIC,FRESH MARKET - SALES,MEASURED IN CWT,132,(H)
2021,STATE,NEW JERSEY,34,STRAWBERRIES,ORGANIC - ACRES HARVESTED,NA,NA,NA,(D)
2021,STATE,NEW JERSEY,34,STRAWBERRIES,ORGANIC - OPERATIONS WITH AREA HARVESTED,NA,NA,3,(H)
2021,STATE,NEW JERSEY,34,STRAWBERRIES,ORGANIC - OPERATIONS WITH SALES,NA,NA,3,(H)
2021,STATE,NEW JERSEY,34,STRAWBERRIES,ORGANIC - PRODUCTION,MEASURED IN CWT,NA,NA,(D)
2021,STATE,NEW JERSEY,34,STRAWBERRIES,ORGANIC - SALES,MEASURED IN $,NA,NA,(H)
2021,STATE,NEW JERSEY,34,STRAWBERRIES,ORGANIC - SALES,MEASURED IN CWT,NA,NA,(D)
2021,STATE,NEW JERSEY,34,STRAWBERRIES,ORGANIC,FRESH MARKET - OPERATIONS WITH SALES,NA,3,(H)
2021,STATE,NEW JERSEY,34,STRAWBERRIES,ORGANIC,FRESH MARKET - SALES,MEASURED IN $,NA,(H)
2021,STATE,NEW JERSEY,34,STRAWBERRIES,ORGANIC,FRESH MARKET - SALES,MEASURED IN CWT,NA,(D)
2021,STATE,NEW YORK,36,STRAWBERRIES,ORGANIC - ACRES HARVESTED,NA,NA,38,42.2
2021,STATE,NEW YORK,36,STRAWBERRIES,ORGANIC - OPERATIONS WITH AREA HARVESTED,NA,NA,45,26.4
2021,STATE,NEW YORK,36,STRAWBERRIES,ORGANIC - OPERATIONS WITH SALES,NA,NA,45,26.4
2021,STATE,NEW YORK,36,STRAWBERRIES,ORGANIC - PRODUCTION,MEASURED IN CWT,NA,NA,32.6
2021,STATE,NEW YORK,36,STRAWBERRIES,ORGANIC - SALES,MEASURED IN $,NA,NA,44.5
2021,STATE,NEW YORK,36,STRAWBERRIES,ORGANIC - SALES,MEASURED IN CWT,NA,NA,32.6
2021,STATE,NEW YORK,36,STRAWBERRIES,ORGANIC,FRESH MARKET - OPERATIONS WITH SALES,NA,43,25.3
2021,STATE,NEW YORK,36,STRAWBERRIES,ORGANIC,FRESH MARKET - SALES,MEASURED IN $,NA,(D)
2021,STATE,NEW YORK,36,STRAWBERRIES,ORGANIC,FRESH MARKET - SALES,MEASURED IN CWT,NA,(D)
2021,STATE,NEW YORK,36,STRAWBERRIES,ORGANIC,PROCESSING - OPERATIONS WITH SALES,NA,2,94.9
2021,STATE,NEW YORK,36,STRAWBERRIES,ORGANIC,PROCESSING - SALES,MEASURED IN $,NA,(D)
2021,STATE,NEW YORK,36,STRAWBERRIES,ORGANIC,PROCESSING - SALES,MEASURED IN CWT,NA,(D)
2021,STATE,NORTH CAROLINA,37,STRAWBERRIES,ORGANIC - ACRES HARVESTED,NA,NA,6,76.7
2021,STATE,NORTH CAROLINA,37,STRAWBERRIES,ORGANIC - OPERATIONS WITH AREA HARVESTED,NA,NA,4,68.3
2021,STATE,NORTH CAROLINA,37,STRAWBERRIES,ORGANIC - OPERATIONS WITH SALES,NA,NA,4,68.3
2021,STATE,NORTH CAROLINA,37,STRAWBERRIES,ORGANIC - PRODUCTION,MEASURED IN CWT,NA,734,89.2
2021,STATE,NORTH CAROLINA,37,STRAWBERRIES,ORGANIC - SALES,MEASURED IN $,NA,NA,(H)
2021,STATE,NORTH CAROLINA,37,STRAWBERRIES,ORGANIC - SALES,MEASURED IN CWT,NA,734,89.2
2021,STATE,NORTH CAROLINA,37,STRAWBERRIES,ORGANIC,FRESH MARKET - OPERATIONS WITH SALES,NA,4,68.3
2021,STATE,NORTH CAROLINA,37,STRAWBERRIES,ORGANIC,FRESH MARKET - SALES,MEASURED IN $,NA,(H)
2021,STATE,NORTH CAROLINA,37,STRAWBERRIES,ORGANIC,FRESH MARKET - SALES,MEASURED IN CWT,734,89.2
2021,STATE,OHIO,39,STRAWBERRIES,ORGANIC - ACRES HARVESTED,NA,NA,10,67.5
2021,STATE,OHIO,39,STRAWBERRIES,ORGANIC - OPERATIONS WITH AREA HARVESTED,NA,NA,9,72.1
2021,STATE,OHIO,39,STRAWBERRIES,ORGANIC - OPERATIONS WITH SALES,NA,NA,9,72.1
