Program,Year,Period,Week_Ending,Geo_Level,State,State_ANSI,Region,Commodity,Data_Item,Domain,Domain_Category,Value
CENSUS,2022,YEAR,NA,COUNTY,ALABAMA,01,NA,STRAWBERRIES,STRAWBERRIES - OPERATIONS WITH AREA NON-BEARING,TOTAL,NOT SPECIFIED,1
CENSUS,2022,YEAR,NA,COUNTY,ALABAMA,01,NA,STRAWBERRIES,STRAWBERRIES - OPERATIONS WITH AREA BEARING,TOTAL,NOT SPECIFIED,4
CENSUS,2022,YEAR,NA,COUNTY,ALABAMA,01,NA,STRAWBERRIES,STRAWBERRIES - OPERATIONS WITH AREA GROWN,TOTAL,NOT SPECIFIED,4
CENSUS,2022,YEAR,NA,COUNTY,ALABAMA,01,NA,STRAWBERRIES,STRAWBERRIES - ACRES BEARING,TOTAL,NOT SPECIFIED,8
CENSUS,2022,YEAR,NA,COUNTY,ALABAMA,01,NA,STRAWBERRIES,STRAWBERRIES - ACRES GROWN,TOTAL,NOT SPECIFIED,9
CENSUS,2022,YEAR,NA,COUNTY,ALABAMA,01,NA,STRAWBERRIES,STRAWBERRIES - ACRES NON-BEARING,TOTAL,NOT SPECIFIED,1
CENSUS,2022,YEAR,NA,COUNTY,ALABAMA,01,NA,STRAWBERRIES,STRAWBERRIES - OPERATIONS WITH AREA BEARING,TOTAL,NOT SPECIFIED,10
CENSUS,2022,YEAR,NA,COUNTY,ALABAMA,01,NA,STRAWBERRIES,STRAWBERRIES - OPERATIONS WITH AREA GROWN,TOTAL,NOT SPECIFIED,11
CENSUS,2022,YEAR,NA,COUNTY,ALABAMA,01,NA,STRAWBERRIES,STRAWBERRIES - OPERATIONS WITH AREA NON-BEARING,TOTAL,NOT SPECIFIED,3
CENSUS,2022,YEAR,NA,COUNTY,ALABAMA,01,NA,STRAWBERRIES,STRAWBERRIES - ACRES BEARING,TOTAL,NOT SPECIFIED,7
CENSUS,2022,YEAR,NA,COUNTY,ALABAMA,01,NA,STRAWBERRIES,STRAWBERRIES - ACRES GROWN,TOTAL,NOT SPECIFIED,7
CENSUS,2022,YEAR,NA,COUNTY,ALABAMA,01,NA,STRAWBERRIES,STRAWBERRIES - ACRES BEARING,TOTAL,NOT SPECIFIED,10
CENSUS,2022,YEAR,NA,COUNTY,ALABAMA,01,NA,STRAWBERRIES,STRAWBERRIES - ACRES GROWN,TOTAL,NOT SPECIFIED,10
CENSUS,2022,YEAR,NA,COUNTY,ALABAMA,01,NA,STRAWBERRIES,STRAWBERRIES - OPERATIONS WITH AREA BEARING,TOTAL,NOT SPECIFIED,8
CENSUS,2022,YEAR,NA,COUNTY,ALABAMA,01,NA,STRAWBERRIES,STRAWBERRIES - OPERATIONS WITH AREA GROWN,TOTAL,NOT SPECIFIED,8
CENSUS,2022,YEAR,NA,COUNTY,ALABAMA,01,NA,STRAWBERRIES,STRAWBERRIES - OPERATIONS WITH AREA GROWN,TOTAL,NOT SPECIFIED,1
CENSUS,2022,YEAR,NA,COUNTY,ALABAMA,01,NA,STRAWBERRIES,STRAWBERRIES - OPERATIONS WITH AREA NON-BEARING,TOTAL,NOT SPECIFIED,2
CENSUS,2022,YEAR,NA,COUNTY,ALABAMA,01,NA,STRAWBERRIES,STRAWBERRIES - ACRES BEARING,TOTAL,NOT SPECIFIED,2
CENSUS,2022,YEAR,NA,COUNTY,ALABAMA,01,NA,STRAWBERRIES,STRAWBERRIES - ACRES GROWN,TOTAL,NOT SPECIFIED,2
CENSUS,2022,YEAR,NA,COUNTY,ALABAMA,01,NA,STRAWBERRIES,STRAWBERRIES - ACRES BEARING,TOTAL,NOT SPECIFIED,61
CENSUS,2022,YEAR,NA,COUNTY,ALABAMA,01,NA,STRAWBERRIES,STRAWBERRIES - ACRES GROWN,TOTAL,NOT SPECIFIED,61
CENSUS,2022,YEAR,NA,COUNTY,ALABAMA,01,NA,STRAWBERRIES,STRAWBERRIES - OPERATIONS WITH AREA BEARING,TOTAL,NOT SPECIFIED,13
CENSUS,2022,YEAR,NA,COUNTY,ALABAMA,01,NA,STRAWBERRIES,STRAWBERRIES - OPERATIONS WITH AREA GROWN,TOTAL,NOT SPECIFIED,13
CENSUS,2022,YEAR,NA,COUNTY,ALABAMA,01,NA,STRAWBERRIES,STRAWBERRIES - ACRES GROWN,TOTAL,NOT SPECIFIED,16
CENSUS,2022,YEAR,NA,COUNTY,ALABAMA,01,NA,STRAWBERRIES,STRAWBERRIES - ACRES GROWN,TOTAL,NOT SPECIFIED,8
CENSUS,2022,YEAR,NA,COUNTY,ALABAMA,01,NA,STRAWBERRIES,STRAWBERRIES - OPERATIONS WITH AREA BEARING,TOTAL,NOT SPECIFIED,5
CENSUS,2022,YEAR,NA,COUNTY,ALABAMA,01,NA,STRAWBERRIES,STRAWBERRIES - OPERATIONS WITH AREA GROWN,TOTAL,NOT SPECIFIED,5
CENSUS,2022,YEAR,NA,COUNTY,ALASKA,02,NA,STRAWBERRIES,STRAWBERRIES - ACRES BEARING,TOTAL,NOT SPECIFIED,4
CENSUS,2022,YEAR,NA,COUNTY,ALASKA,02,NA,STRAWBERRIES,STRAWBERRIES - ACRES GROWN,TOTAL,NOT SPECIFIED,4
CENSUS,2022,YEAR,NA,COUNTY,ALASKA,02,NA,STRAWBERRIES,STRAWBERRIES - ACRES NON-BEARING,TOTAL,NOT SPECIFIED,4
CENSUS,2022,YEAR,NA,COUNTY,ALASKA,02,NA,STRAWBERRIES,STRAWBERRIES - OPERATIONS WITH AREA BEARING,TOTAL,NOT SPECIFIED,21
CENSUS,2022,YEAR,NA,COUNTY,ALASKA,02,NA,STRAWBERRIES,STRAWBERRIES - OPERATIONS WITH AREA GROWN,TOTAL,NOT SPECIFIED,24
CENSUS,2022,YEAR,NA,COUNTY,ALASKA,02,NA,STRAWBERRIES,STRAWBERRIES - OPERATIONS WITH AREA NON-BEARING,TOTAL,NOT SPECIFIED,6
CENSUS,2022,YEAR,NA,COUNTY,ALASKA,02,NA,STRAWBERRIES,STRAWBERRIES - OPERATIONS WITH AREA BEARING,TOTAL,NOT SPECIFIED,11
CENSUS,2022,YEAR,NA,COUNTY,ALASKA,02,NA,STRAWBERRIES,STRAWBERRIES - OPERATIONS WITH AREA GROWN,TOTAL,NOT SPECIFIED,12
CENSUS,2022,YEAR,NA,COUNTY,ALASKA,02,NA,STRAWBERRIES,STRAWBERRIES - OPERATIONS WITH AREA NON-BEARING,TOTAL,NOT SPECIFIED,1
CENSUS,2022,YEAR,NA,COUNTY,ALASKA,02,NA,STRAWBERRIES,STRAWBERRIES - OPERATIONS WITH AREA BEARING,TOTAL,NOT SPECIFIED,3
CENSUS,2022,YEAR,NA,COUNTY,ALASKA,02,NA,STRAWBERRIES,STRAWBERRIES - OPERATIONS WITH AREA GROWN,TOTAL,NOT SPECIFIED,3
CENSUS,2022,YEAR,NA,COUNTY,ALASKA,02,NA,STRAWBERRIES,STRAWBERRIES - OPERATIONS WITH AREA BEARING,TOTAL,NOT SPECIFIED,2
CENSUS,2022,YEAR,NA,COUNTY,ALASKA,02,NA,STRAWBERRIES,STRAWBERRIES - OPERATIONS WITH AREA GROWN,TOTAL,NOT SPECIFIED,2
CENSUS,2022,YEAR,NA,COUNTY,ALASKA,02,NA,STRAWBERRIES,STRAWBERRIES - ACRES GROWN,TOTAL,NOT SPECIFIED,7
CENSUS,2022,YEAR,NA,COUNTY,ALASKA,02,NA,STRAWBERRIES,STRAWBERRIES - OPERATIONS WITH AREA BEARING,TOTAL,NOT SPECIFIED,8
CENSUS,2022,YEAR,NA,COUNTY,ALASKA,02,NA,STRAWBERRIES,STRAWBERRIES - OPERATIONS WITH AREA GROWN,TOTAL,NOT SPECIFIED,9
CENSUS,2022,YEAR,NA,COUNTY,ARIZONA,04,NA,STRAWBERRIES,STRAWBERRIES - ACRES BEARING,TOTAL,NOT SPECIFIED,4
CENSUS,2022,YEAR,NA,COUNTY,ARIZONA,04,NA,STRAWBERRIES,STRAWBERRIES - ACRES GROWN,TOTAL,NOT SPECIFIED,4
CENSUS,2022,YEAR,NA,COUNTY,ARIZONA,04,NA,STRAWBERRIES,STRAWBERRIES - OPERATIONS WITH AREA BEARING,TOTAL,NOT SPECIFIED,3
CENSUS,2022,YEAR,NA,COUNTY,ARIZONA,04,NA,STRAWBERRIES,STRAWBERRIES - OPERATIONS WITH AREA GROWN,TOTAL,NOT SPECIFIED,3
CENSUS,2022,YEAR,NA,COUNTY,ARIZONA,04,NA,STRAWBERRIES,STRAWBERRIES - ACRES BEARING,TOTAL,NOT SPECIFIED,1
CENSUS,2022,YEAR,NA,COUNTY,ARIZONA,04,NA,STRAWBERRIES,STRAWBERRIES - ACRES GROWN,TOTAL,NOT SPECIFIED,2
CENSUS,2022,YEAR,NA,COUNTY,ARIZONA,04,NA,STRAWBERRIES,STRAWBERRIES - ACRES NON-BEARING,TOTAL,NOT SPECIFIED,4
CENSUS,2022,YEAR,NA,COUNTY,ARIZONA,04,NA,STRAWBERRIES,STRAWBERRIES - OPERATIONS WITH AREA BEARING,TOTAL,NOT SPECIFIED,7
CENSUS,2022,YEAR,NA,COUNTY,ARIZONA,04,NA,STRAWBERRIES,STRAWBERRIES - OPERATIONS WITH AREA GROWN,TOTAL,NOT SPECIFIED,10
CENSUS,2022,YEAR,NA,COUNTY,ARIZONA,04,NA,STRAWBERRIES,STRAWBERRIES - OPERATIONS WITH AREA NON-BEARING,TOTAL,NOT SPECIFIED,3
CENSUS,2022,YEAR,NA,COUNTY,ARIZONA,04,NA,STRAWBERRIES,STRAWBERRIES - OPERATIONS WITH AREA BEARING,TOTAL,NOT SPECIFIED,1
CENSUS,2022,YEAR,NA,COUNTY,ARIZONA,04,NA,STRAWBERRIES,STRAWBERRIES - OPERATIONS WITH AREA GROWN,TOTAL,NOT SPECIFIED,4
CENSUS,2022,YEAR,NA,COUNTY,ARIZONA,04,NA,STRAWBERRIES,STRAWBERRIES - OPERATIONS WITH AREA GROWN,TOTAL,NOT SPECIFIED,1
CENSUS,2022,YEAR,NA,COUNTY,ARIZONA,04,NA,STRAWBERRIES,STRAWBERRIES - OPERATIONS WITH AREA NON-BEARING,TOTAL,NOT SPECIFIED,1
CENSUS,2022,YEAR,NA,COUNTY,ARIZONA,04,NA,STRAWBERRIES,STRAWBERRIES - OPERATIONS WITH AREA GROWN,TOTAL,NOT SPECIFIED,5
CENSUS,2022,YEAR,NA,COUNTY,ARIZONA,04,NA,STRAWBERRIES,STRAWBERRIES - OPERATIONS WITH AREA NON-BEARING,TOTAL,NOT SPECIFIED,2
CENSUS,2022,YEAR,NA,COUNTY,ARKANSAS,05,NA,STRAWBERRIES,STRAWBERRIES - ACRES BEARING,TOTAL,NOT SPECIFIED,4
CENSUS,2022,YEAR,NA,COUNTY,ARKANSAS,05,NA,STRAWBERRIES,STRAWBERRIES - ACRES GROWN,TOTAL,NOT SPECIFIED,4
CENSUS,2022,YEAR,NA,COUNTY,ARKANSAS,05,NA,STRAWBERRIES,STRAWBERRIES - ACRES NON-BEARING,TOTAL,NOT SPECIFIED,4
CENSUS,2022,YEAR,NA,COUNTY,ARKANSAS,05,NA,STRAWBERRIES,STRAWBERRIES - OPERATIONS WITH AREA BEARING,TOTAL,NOT SPECIFIED,1
CENSUS,2022,YEAR,NA,COUNTY,ARKANSAS,05,NA,STRAWBERRIES,STRAWBERRIES - OPERATIONS WITH AREA GROWN,TOTAL,NOT SPECIFIED,4
CENSUS,2022,YEAR,NA,COUNTY,ARKANSAS,05,NA,STRAWBERRIES,STRAWBERRIES - OPERATIONS WITH AREA NON-BEARING,TOTAL,NOT SPECIFIED,3
CENSUS,2022,YEAR,NA,COUNTY,ARKANSAS,05,NA,STRAWBERRIES,STRAWBERRIES - OPERATIONS WITH AREA BEARING,TOTAL,NOT SPECIFIED,4
CENSUS,2022,YEAR,NA,COUNTY,ARKANSAS,05,NA,STRAWBERRIES,STRAWBERRIES - OPERATIONS WITH AREA NON-BEARING,TOTAL,NOT SPECIFIED,1
CENSUS,2022,YEAR,NA,COUNTY,ARKANSAS,05,NA,STRAWBERRIES,STRAWBERRIES - OPERATIONS WITH AREA BEARING,TOTAL,NOT SPECIFIED,3
CENSUS,2022,YEAR,NA,COUNTY,ARKANSAS,05,NA,STRAWBERRIES,STRAWBERRIES - OPERATIONS WITH AREA GROWN,TOTAL,NOT SPECIFIED,3
CENSUS,2022,YEAR,NA,COUNTY,ARKANSAS,05,NA,STRAWBERRIES,STRAWBERRIES - ACRES BEARING,TOTAL,NOT SPECIFIED,12
CENSUS,2022,YEAR,NA,COUNTY,ARKANSAS,05,NA,STRAWBERRIES,STRAWBERRIES - ACRES GROWN,TOTAL,NOT SPECIFIED,12
CENSUS,2022,YEAR,NA,COUNTY,ARKANSAS,05,NA,STRAWBERRIES,STRAWBERRIES - OPERATIONS WITH AREA BEARING,TOTAL,NOT SPECIFIED,7
CENSUS,2022,YEAR,NA,COUNTY,ARKANSAS,05,NA,STRAWBERRIES,STRAWBERRIES - OPERATIONS WITH AREA GROWN,TOTAL,NOT SPECIFIED,7
CENSUS,2022,YEAR,NA,COUNTY,ARKANSAS,05,NA,STRAWBERRIES,STRAWBERRIES - OPERATIONS WITH AREA BEARING,TOTAL,NOT SPECIFIED,6
CENSUS,2022,YEAR,NA,COUNTY,ARKANSAS,05,NA,STRAWBERRIES,STRAWBERRIES - OPERATIONS WITH AREA GROWN,TOTAL,NOT SPECIFIED,6
CENSUS,2022,YEAR,NA,COUNTY,ARKANSAS,05,NA,STRAWBERRIES,STRAWBERRIES - OPERATIONS WITH AREA GROWN,TOTAL,NOT SPECIFIED,1
CENSUS,2022,YEAR,NA,COUNTY,ARKANSAS,05,NA,STRAWBERRIES,STRAWBERRIES - OPERATIONS WITH AREA BEARING,TOTAL,NOT SPECIFIED,2
CENSUS,2022,YEAR,NA,COUNTY,ARKANSAS,05,NA,STRAWBERRIES,STRAWBERRIES - OPERATIONS WITH AREA GROWN,TOTAL,NOT SPECIFIED,2
CENSUS,2022,YEAR,NA,COUNTY,ARKANSAS,05,NA,STRAWBERRIES,STRAWBERRIES - ACRES GROWN,TOTAL,NOT SPECIFIED,13
CENSUS,2022,YEAR,NA,COUNTY,ARKANSAS,05,NA,STRAWBERRIES,STRAWBERRIES - ACRES BEARING,TOTAL,NOT SPECIFIED,10
CENSUS,2022,YEAR,NA,COUNTY,ARKANSAS,05,NA,STRAWBERRIES,STRAWBERRIES - OPERATIONS WITH AREA NON-BEARING,TOTAL,NOT SPECIFIED,6
CENSUS,2022,YEAR,NA,COUNTY,ARKANSAS,05,NA,STRAWBERRIES,STRAWBERRIES - ACRES BEARING,TOTAL,NOT SPECIFIED,6
CENSUS,2022,YEAR,NA,COUNTY,ARKANSAS,05,NA,STRAWBERRIES,STRAWBERRIES - ACRES GROWN,TOTAL,NOT SPECIFIED,6
CENSUS,2022,YEAR,NA,COUNTY,ARKANSAS,05,NA,STRAWBERRIES,STRAWBERRIES - OPERATIONS WITH AREA BEARING,TOTAL,NOT SPECIFIED,5
CENSUS,2022,YEAR,NA,COUNTY,ARKANSAS,05,NA,STRAWBERRIES,STRAWBERRIES - OPERATIONS WITH AREA GROWN,TOTAL,NOT SPECIFIED,5
CENSUS,2022,YEAR,NA,COUNTY,ARKANSAS,05,NA,STRAWBERRIES,STRAWBERRIES - OPERATIONS WITH AREA NON-BEARING,TOTAL,NOT SPECIFIED,2
CENSUS,2022,YEAR,NA,COUNTY,ARKANSAS,05,NA,STRAWBERRIES,STRAWBERRIES - ACRES BEARING,TOTAL,NOT SPECIFIED,15
CENSUS,2022,YEAR,NA,COUNTY,ARKANSAS,05,NA,STRAWBERRIES,STRAWBERRIES - ACRES GROWN,TOTAL,NOT SPECIFIED,15
CENSUS,2022,YEAR,NA,COUNTY,ARKANSAS,05,NA,STRAWBERRIES,STRAWBERRIES - ACRES BEARING,TOTAL,NOT SPECIFIED,3
CENSUS,2022,YEAR,NA,COUNTY,ARKANSAS,05,NA,STRAWBERRIES,STRAWBERRIES - OPERATIONS WITH AREA NON-BEARING,TOTAL,NOT SPECIFIED,5
CENSUS,2022,YEAR,NA,COUNTY,ARKANSAS,05,NA,STRAWBERRIES,STRAWBERRIES - ACRES GROWN,TOTAL,NOT SPECIFIED,3
CENSUS,2022,YEAR,NA,COUNTY,CALIFORNIA,06,NA,STRAWBERRIES,STRAWBERRIES - ACRES BEARING,TOTAL,NOT SPECIFIED,4
CENSUS,2022,YEAR,NA,COUNTY,CALIFORNIA,06,NA,STRAWBERRIES,STRAWBERRIES - ACRES GROWN,TOTAL,NOT SPECIFIED,4
CENSUS,2022,YEAR,NA,COUNTY,CALIFORNIA,06,NA,STRAWBERRIES,STRAWBERRIES - OPERATIONS WITH AREA BEARING,TOTAL,NOT SPECIFIED,3
CENSUS,2022,YEAR,NA,COUNTY,CALIFORNIA,06,NA,STRAWBERRIES,STRAWBERRIES - OPERATIONS WITH AREA GROWN,TOTAL,NOT SPECIFIED,3
CENSUS,2022,YEAR,NA,COUNTY,CALIFORNIA,06,NA,STRAWBERRIES,STRAWBERRIES - ACRES NON-BEARING,TOTAL,NOT SPECIFIED,4
CENSUS,2022,YEAR,NA,COUNTY,CALIFORNIA,06,NA,STRAWBERRIES,STRAWBERRIES - OPERATIONS WITH AREA BEARING,TOTAL,NOT SPECIFIED,6
CENSUS,2022,YEAR,NA,COUNTY,CALIFORNIA,06,NA,STRAWBERRIES,STRAWBERRIES - OPERATIONS WITH AREA GROWN,TOTAL,NOT SPECIFIED,7
CENSUS,2022,YEAR,NA,COUNTY,CALIFORNIA,06,NA,STRAWBERRIES,STRAWBERRIES - OPERATIONS WITH AREA NON-BEARING,TOTAL,NOT SPECIFIED,1
CENSUS,2022,YEAR,NA,COUNTY,CALIFORNIA,06,NA,STRAWBERRIES,STRAWBERRIES - ACRES NON-BEARING,TOTAL,NOT SPECIFIED,238
CENSUS,2022,YEAR,NA,COUNTY,CALIFORNIA,06,NA,STRAWBERRIES,STRAWBERRIES - OPERATIONS WITH AREA BEARING,TOTAL,NOT SPECIFIED,138
CENSUS,2022,YEAR,NA,COUNTY,CALIFORNIA,06,NA,STRAWBERRIES,STRAWBERRIES - OPERATIONS WITH AREA GROWN,TOTAL,NOT SPECIFIED,138
CENSUS,2022,YEAR,NA,COUNTY,CALIFORNIA,06,NA,STRAWBERRIES,STRAWBERRIES - OPERATIONS WITH AREA NON-BEARING,TOTAL,NOT SPECIFIED,18
CENSUS,2022,YEAR,NA,COUNTY,CALIFORNIA,06,NA,STRAWBERRIES,STRAWBERRIES - ACRES BEARING,TOTAL,NOT SPECIFIED,90
CENSUS,2022,YEAR,NA,COUNTY,CALIFORNIA,06,NA,STRAWBERRIES,STRAWBERRIES - ACRES GROWN,TOTAL,NOT SPECIFIED,90
CENSUS,2022,YEAR,NA,COUNTY,CALIFORNIA,06,NA,STRAWBERRIES,STRAWBERRIES - OPERATIONS WITH AREA BEARING,TOTAL,NOT SPECIFIED,37
CENSUS,2022,YEAR,NA,COUNTY,CALIFORNIA,06,NA,STRAWBERRIES,STRAWBERRIES - OPERATIONS WITH AREA GROWN,TOTAL,NOT SPECIFIED,37
CENSUS,2022,YEAR,NA,COUNTY,CALIFORNIA,06,NA,STRAWBERRIES,STRAWBERRIES - OPERATIONS WITH AREA BEARING,TOTAL,NOT SPECIFIED,2
CENSUS,2022,YEAR,NA,COUNTY,CALIFORNIA,06,NA,STRAWBERRIES,STRAWBERRIES - OPERATIONS WITH AREA GROWN,TOTAL,NOT SPECIFIED,2
CENSUS,2022,YEAR,NA,COUNTY,CALIFORNIA,06,NA,STRAWBERRIES,STRAWBERRIES - OPERATIONS WITH AREA BEARING,TOTAL,NOT SPECIFIED,32
CENSUS,2022,YEAR,NA,COUNTY,CALIFORNIA,06,NA,STRAWBERRIES,STRAWBERRIES - OPERATIONS WITH AREA GROWN,TOTAL,NOT SPECIFIED,34
CENSUS,2022,YEAR,NA,COUNTY,CALIFORNIA,06,NA,STRAWBERRIES,STRAWBERRIES - OPERATIONS WITH AREA NON-BEARING,TOTAL,NOT SPECIFIED,2
CENSUS,2022,YEAR,NA,COUNTY,CALIFORNIA,06,NA,STRAWBERRIES,STRAWBERRIES - OPERATIONS WITH AREA BEARING,TOTAL,NOT SPECIFIED,7
CENSUS,2022,YEAR,NA,COUNTY,CALIFORNIA,06,NA,STRAWBERRIES,STRAWBERRIES - ACRES NON-BEARING,TOTAL,NOT SPECIFIED,7
CENSUS,2022,YEAR,NA,COUNTY,CALIFORNIA,06,NA,STRAWBERRIES,STRAWBERRIES - OPERATIONS WITH AREA BEARING,TOTAL,NOT SPECIFIED,45
CENSUS,2022,YEAR,NA,COUNTY,CALIFORNIA,06,NA,STRAWBERRIES,STRAWBERRIES - OPERATIONS WITH AREA GROWN,TOTAL,NOT SPECIFIED,45
CENSUS,2022,YEAR,NA,COUNTY,CALIFORNIA,06,NA,STRAWBERRIES,STRAWBERRIES - OPERATIONS WITH AREA NON-BEARING,TOTAL,NOT SPECIFIED,4
CENSUS,2022,YEAR,NA,COUNTY,CALIFORNIA,06,NA,STRAWBERRIES,STRAWBERRIES - ACRES BEARING,TOTAL,NOT SPECIFIED,28
CENSUS,2022,YEAR,NA,COUNTY,CALIFORNIA,06,NA,STRAWBERRIES,STRAWBERRIES - ACRES GROWN,TOTAL,NOT SPECIFIED,29
CENSUS,2022,YEAR,NA,COUNTY,CALIFORNIA,06,NA,STRAWBERRIES,STRAWBERRIES - ACRES NON-BEARING,TOTAL,NOT SPECIFIED,1
CENSUS,2022,YEAR,NA,COUNTY,CALIFORNIA,06,NA,STRAWBERRIES,STRAWBERRIES - OPERATIONS WITH AREA BEARING,TOTAL,NOT SPECIFIED,23
CENSUS,2022,YEAR,NA,COUNTY,CALIFORNIA,06,NA,STRAWBERRIES,STRAWBERRIES - OPERATIONS WITH AREA GROWN,TOTAL,NOT SPECIFIED,23
CENSUS,2022,YEAR,NA,COUNTY,CALIFORNIA,06,NA,STRAWBERRIES,STRAWBERRIES - OPERATIONS WITH AREA NON-BEARING,TOTAL,NOT SPECIFIED,3
CENSUS,2022,YEAR,NA,COUNTY,CALIFORNIA,06,NA,STRAWBERRIES,STRAWBERRIES - OPERATIONS WITH AREA GROWN,TOTAL,NOT SPECIFIED,1
CENSUS,2022,YEAR,NA,COUNTY,CALIFORNIA,06,NA,STRAWBERRIES,STRAWBERRIES - ACRES BEARING,TOTAL,NOT SPECIFIED,1
CENSUS,2022,YEAR,NA,COUNTY,CALIFORNIA,06,NA,STRAWBERRIES,STRAWBERRIES - ACRES GROWN,TOTAL,NOT SPECIFIED,1
CENSUS,2022,YEAR,NA,COUNTY,CALIFORNIA,06,NA,STRAWBERRIES,STRAWBERRIES - OPERATIONS WITH AREA BEARING,TOTAL,NOT SPECIFIED,4
CENSUS,2022,YEAR,NA,COUNTY,CALIFORNIA,06,NA,STRAWBERRIES,STRAWBERRIES - OPERATIONS WITH AREA GROWN,TOTAL,NOT SPECIFIED,4
CENSUS,2022,YEAR,NA,COUNTY,CALIFORNIA,06,NA,STRAWBERRIES,STRAWBERRIES - OPERATIONS WITH AREA GROWN,TOTAL,NOT SPECIFIED,6
CENSUS,2022,YEAR,NA,COUNTY,CALIFORNIA,06,NA,STRAWBERRIES,STRAWBERRIES - ACRES GROWN,TOTAL,NOT SPECIFIED,2
CENSUS,2022,YEAR,NA,COUNTY,CALIFORNIA,06,NA,STRAWBERRIES,STRAWBERRIES - OPERATIONS WITH AREA BEARING,TOTAL,NOT SPECIFIED,5
CENSUS,2022,YEAR,NA,COUNTY,CALIFORNIA,06,NA,STRAWBERRIES,STRAWBERRIES - ACRES BEARING,TOTAL,NOT SPECIFIED,6
CENSUS,2022,YEAR,NA,COUNTY,CALIFORNIA,06,NA,STRAWBERRIES,STRAWBERRIES - ACRES GROWN,TOTAL,NOT SPECIFIED,9
CENSUS,2022,YEAR,NA,COUNTY,CALIFORNIA,06,NA,STRAWBERRIES,STRAWBERRIES - ACRES NON-BEARING,TOTAL,NOT SPECIFIED,3
CENSUS,2022,YEAR,NA,COUNTY,CALIFORNIA,06,NA,STRAWBERRIES,STRAWBERRIES - OPERATIONS WITH AREA BEARING,TOTAL,NOT SPECIFIED,9
CENSUS,2022,YEAR,NA,COUNTY,CALIFORNIA,06,NA,STRAWBERRIES,STRAWBERRIES - OPERATIONS WITH AREA GROWN,TOTAL,NOT SPECIFIED,9
CENSUS,2022,YEAR,NA,COUNTY,CALIFORNIA,06,NA,STRAWBERRIES,STRAWBERRIES - ACRES BEARING,TOTAL,NOT SPECIFIED,8
CENSUS,2022,YEAR,NA,COUNTY,CALIFORNIA,06,NA,STRAWBERRIES,STRAWBERRIES - ACRES GROWN,TOTAL,NOT SPECIFIED,10
CENSUS,2022,YEAR,NA,COUNTY,CALIFORNIA,06,NA,STRAWBERRIES,STRAWBERRIES - ACRES NON-BEARING,TOTAL,NOT SPECIFIED,2
CENSUS,2022,YEAR,NA,COUNTY,CALIFORNIA,06,NA,STRAWBERRIES,STRAWBERRIES - OPERATIONS WITH AREA BEARING,TOTAL,NOT SPECIFIED,1
